0	The US state of Florida has been accused of assaulting a police officer in a pretrial detention facility , according to a report from the US media agency cnn . This is the latest twist in the row between the prisoners and the judges involved in the detention of mentally ill people . a  BBC investigation has revealed why these cases have been linked to violence in the state , and how they have been affected.  But a BBC News   
1	Harry potter star Daniel Radcliffe says he has no plans to spend money on fast cars , drink and celebrity parties as he turns 18 , but he insists the money wo n't cast a spell on him . Here is a full transcript of his latest outing , which he says is breaking records on both sides of
2	Survivors of the collapse of a bridge in the US state of Minnesota have told the BBC they were lucky to survive . They told how they saved the lives of their victims and their families when they lost their lives . The BBC's weekly The Boss series profiles some of the survivors of the tragedy.   .. - This is a full transcript of what happened to drivers who were rescued from the disaster , which ended a decade - and 
3	"Youssif , a five-year-old boy who was shot and set on fire in a car park in northern Iraq , has been given a lifetime of relief . his family says it 's the best birthday present they could ever have imagined for their boy . the BBC's arwa damon reports . . "" i wouldn't know what to do with myself , but i was so happy i did not know what it would happen .' "" . BBC News   "
4	US President George W. Bush has reclaimed presidential power after a repeat procedure for his colon cancer , the White House says . Before he was elected president , there was no abnormalities in his colon , according to a white house spokesman . the president is undergoing chemotherapy for colon cancer at the age of 50 , and
5	"The suspension of a former NFL player without pay has been described as a ""cruel and reprehensible"" , according to officials with the league . FBI officials say the suspension will be reviewed after a plea deal was reached . The NFL says it will review the status of its suspension . "" ' withdrawal ' is expected to begin next week . the FBI is looking for a solution to the issue of sanctions '. ' "" - FBI's investigation into the investigation  - the chief executive of the NFL's decision to suspend the sack ' in a bid to secure a $ 22 million fine , $ 250,000 - is being investigated - and it will not be tolerated ."
6	The BBC's weekly The Boss series profiles different women from across the world . This week we speak to a group of iraqi women who turn to prostitution to save their children . They describe why they have been driven to sell their bodies to put food on the table for their child , and how they are making just . BBC News's Zeinab Mohammed explains why these women have been forced to leave their homes because of violence , a lack of faith and anxiety , as she describes their experiences and why she says she is turning to being prostitute .
7	"US President George W. Bush has accepted the resignation of his White House spokesman tony snow , a day after he announced he was leaving his job . CNN -rrb - announced that snow 's retirement was a ""dream for me , and a blast for me '' . snow says he will fight cancer and win . "" , he told reporters he 'll be a solid contributor to society ."
8	"US President George W. Bush will argue against pulling out of the Vietnam war , as he tries to explain the lessons of the war in iraq , according to a new speech released by the White House . Why does the speech mean that the killing would end , and why is it a threat to American democracy ? , asks the BBC's Larry Madowo , the former US secretary of state , will explain why he says the threat could collapse. - "" ' - the invasion of Iraq is a "" - and the US - "
9	"US officials say they have exhausted all known options in the search for six miners trapped in a crandall canyon mine in pittsburgh , where they were trapped for almost a month . officials have said they are ""deeply saddened'' by the ordeal , but they say there is no hope of finding a replacement for the six men trapped alive , and they believe they will not be able to return to their homes . BBC America's BBC's i n i c r l rb -"
